1732671932.678130 server started (2053): version 3.5a, socket /private/tmp/tmux-501/default, protocol 8
1732671932.678163 on Darwin 24.1.0 Darwin Kernel Version 24.1.0: Thu Oct 10 21:03:11 PDT 2024; root:xnu-11215.41.3~2/RELEASE_ARM64_T6020
1732671932.678170 using libevent 2.1.12-stable select
1732671932.678180 using utf8proc 2.9.0
1732671932.678186 using ncurses 6.5 20240427
1732671932.678541 input_key_build: 0x10e1b6 (KP1) is 1
1732671932.678545 input_key_build: 0x10e1b7 (KP2) is 2
1732671932.678549 input_key_build: 0x10e1b8 (KP3) is 3
1732671932.678553 input_key_build: 0x10e1b9 (KPEnter) is \n
1732671932.678557 input_key_build: 0x10e1ba (KP0) is 0
1732671932.678561 input_key_build: 0x10e1bb (KP.) is .
1732671932.678566 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1732671932.678570 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1732671932.678575 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1732671932.678581 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1732671932.678585 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1732671932.678589 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1732671932.678593 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1732671932.678597 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1732671932.678602 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1732671932.678606 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1732671932.678610 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1732671932.678614 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1732671932.678618 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1732671932.678622 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1732671932.678626 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1732671932.678631 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1732671932.678635 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1732671932.678639 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1732671932.678643 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1732671932.678655 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1732671932.678658 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1732671932.678661 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1732671932.678664 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1732671932.678667 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1732671932.678670 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1732671932.678673 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1732671932.678676 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1732671932.678680 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1732671932.678683 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1732671932.678686 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1732671932.678690 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1732671932.678694 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1732671932.678697 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1732671932.678700 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1732671932.678703 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1732671932.678706 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1732671932.678709 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1732671932.678712 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1732671932.678715 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1732671932.678718 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1732671932.678722 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1732671932.678725 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1732671932.678728 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1732671932.678731 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1732671932.678734 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1732671932.678737 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1732671932.678740 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1732671932.678744 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1732671932.678747 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1732671932.678750 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1732671932.678753 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1732671932.678756 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1732671932.678759 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1732671932.678762 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1732671932.678765 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1732671932.678768 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1732671932.678771 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1732671932.678774 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1732671932.678777 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1732671932.678780 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1732671932.678783 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1732671932.678786 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1732671932.678789 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1732671932.678792 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1732671932.678795 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1732671932.678798 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1732671932.678802 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1732671932.678805 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1732671932.678808 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1732671932.678811 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1732671932.678814 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1732671932.678817 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1732671932.678820 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1732671932.678823 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1732671932.678835 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1732671932.678846 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1732671932.678859 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1732671932.678863 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1732671932.678867 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1732671932.678870 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1732671932.678874 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1732671932.678877 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1732671932.678881 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1732671932.678884 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1732671932.678887 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1732671932.678890 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1732671932.678893 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1732671932.678897 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1732671932.678900 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1732671932.678903 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1732671932.678906 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1732671932.678909 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1732671932.678912 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1732671932.678915 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1732671932.678918 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1732671932.678921 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1732671932.678924 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1732671932.678927 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1732671932.678930 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1732671932.678933 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1732671932.678936 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1732671932.678939 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1732671932.678943 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1732671932.678946 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1732671932.678949 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1732671932.678952 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1732671932.678955 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1732671932.678958 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1732671932.678961 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1732671932.678964 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1732671932.678967 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1732671932.678970 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1732671932.678973 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1732671932.678976 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1732671932.678979 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1732671932.678982 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1732671932.678985 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1732671932.678988 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1732671932.678991 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1732671932.678994 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1732671932.678997 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1732671932.679000 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1732671932.679004 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1732671932.679007 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1732671932.679010 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1732671932.679013 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1732671932.679016 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1732671932.679019 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1732671932.679022 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1732671932.679025 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1732671932.679033 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1732671932.679036 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1732671932.679040 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1732671932.679043 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1732671932.679048 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1732671932.679052 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1732671932.679055 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1732671932.679058 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1732671932.679061 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1732671932.679064 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1732671932.679068 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1732671932.679071 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1732671932.679074 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1732671932.679077 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1732671932.679080 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1732671932.679083 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1732671932.679086 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1732671932.679089 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1732671932.679092 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1732671932.679095 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1732671932.679098 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1732671932.679102 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1732671932.679105 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1732671932.679108 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1732671932.679111 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1732671932.679114 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1732671932.679117 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1732671932.679121 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1732671932.679124 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1732671932.679127 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1732671932.679130 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1732671932.679133 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1732671932.679136 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1732671932.679139 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1732671932.679142 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1732671932.679145 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1732671932.679148 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1732671932.679151 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1732671932.679154 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1732671932.679157 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1732671932.679161 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1732671932.679164 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1732671932.679167 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1732671932.679170 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1732671932.679257 yylex_token: end at WS
1732671932.679263 yylex_token: bind
1732671932.679268 yylex_token: end at WS
1732671932.679271 yylex_token: -N
1732671932.679276 yylex_token: end at WS
1732671932.679279 yylex_token: Send the prefix key
1732671932.679283 yylex_token: end at WS
1732671932.679287 yylex_token: C-b
1732671932.679290 yylex_token: end at WS
1732671932.679293 yylex_token: send-prefix
1732671932.679298 cmd_parse_build_commands 0:0: bind
1732671932.679301 cmd_parse_build_commands 0:1: -N
1732671932.679304 cmd_parse_build_commands 0:2: Send the prefix key
1732671932.679307 cmd_parse_build_commands 0:3: C-b
1732671932.679311 cmd_parse_build_commands 0:4 0:0: send-prefix
1732671932.679383 cmd_parse_build_commands 0:0: send-prefix
1732671932.679446 args_parse: flags end at 1 of 1
1732671932.679454 cmd_parse_build_commands: send-prefix
1732671932.679458 args_parse_flags: next -N
1732671932.679462 args_parse_flag_argument: -N = Send the prefix key
1732671932.679466 args_parse_flags: next C-b
1732671932.679469 args_parse: flags end at 3 of 5
1732671932.679472 args_parse: 3 = C-b (type STRING)
1732671932.679478 args_parse: 4 = send-prefix (type COMMANDS)
1732671932.679561 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1732671932.679586 cmdq_get_command: [bind-key/0x155604550] group 2
1732671932.679590 cmdq_append <global>: [bind-key/0x155604550]
1732671932.679594 yylex_token: end at WS
1732671932.679597 yylex_token: bind
1732671932.679601 yylex_token: end at WS
1732671932.679604 yylex_token: -N
1732671932.679608 yylex_token: end at WS
1732671932.679611 yylex_token: Rotate through the panes
1732671932.679615 yylex_token: end at WS
1732671932.679617 yylex_token: C-o
1732671932.679621 yylex_token: end at WS
1732671932.679624 yylex_token: rotate-window
1732671932.679633 cmd_parse_build_commands 0:0: bind
1732671932.679636 cmd_parse_build_commands 0:1: -N
1732671932.679639 cmd_parse_build_commands 0:2: Rotate through the panes
1732671932.679642 cmd_parse_build_commands 0:3: C-o
1732671932.679645 cmd_parse_build_commands 0:4 0:0: rotate-window
1732671932.679651 cmd_parse_build_commands 0:0: rotate-window
1732671932.679656 args_parse: flags end at 1 of 1
1732671932.679660 cmd_parse_build_commands: rotate-window
1732671932.679663 args_parse_flags: next -N
1732671932.679666 args_parse_flag_argument: -N = Rotate through the panes
1732671932.679669 args_parse_flags: next C-o
1732671932.679672 args_parse: flags end at 3 of 5
1732671932.679675 args_parse: 3 = C-o (type STRING)
1732671932.679679 args_parse: 4 = rotate-window (type COMMANDS)
1732671932.679689 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1732671932.679694 cmdq_get_command: [bind-key/0x155605700] group 10
1732671932.679697 cmdq_append <global>: [bind-key/0x155605700]
1732671932.679701 yylex_token: end at WS
1732671932.679704 yylex_token: bind
1732671932.679707 yylex_token: end at WS
1732671932.679710 yylex_token: -N
1732671932.679714 yylex_token: end at WS
1732671932.679717 yylex_token: Suspend the current client
1732671932.679720 yylex_token: end at WS
1732671932.679722 yylex_token: C-z
1732671932.679726 yylex_token: end at WS
1732671932.679729 yylex_token: suspend-client
1732671932.679732 cmd_parse_build_commands 0:0: bind
1732671932.679735 cmd_parse_build_commands 0:1: -N
1732671932.679738 cmd_parse_build_commands 0:2: Suspend the current client
1732671932.679741 cmd_parse_build_commands 0:3: C-z
1732671932.679745 cmd_parse_build_commands 0:4 0:0: suspend-client
1732671932.679749 cmd_parse_build_commands 0:0: suspend-client
1732671932.679754 args_parse: flags end at 1 of 1
1732671932.679758 cmd_parse_build_commands: suspend-client
1732671932.679761 args_parse_flags: next -N
1732671932.679764 args_parse_flag_argument: -N = Suspend the current client
1732671932.679767 args_parse_flags: next C-z
1732671932.679770 args_parse: flags end at 3 of 5
1732671932.679773 args_parse: 3 = C-z (type STRING)
1732671932.679776 args_parse: 4 = suspend-client (type COMMANDS)
1732671932.679786 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1732671932.679791 cmdq_get_command: [bind-key/0x155605bc0] group 18
1732671932.679794 cmdq_append <global>: [bind-key/0x155605bc0]
1732671932.679797 yylex_token: end at WS
1732671932.679800 yylex_token: bind
1732671932.679803 yylex_token: end at WS
1732671932.679806 yylex_token: -N
1732671932.679809 yylex_token: end at WS
1732671932.679812 yylex_token: Select next layout
1732671932.679815 yylex_token: end at WS
1732671932.679818 yylex_token: Space
1732671932.679821 yylex_token: end at WS
1732671932.679824 yylex_token: next-layout
1732671932.679828 cmd_parse_build_commands 0:0: bind
1732671932.679837 cmd_parse_build_commands 0:1: -N
1732671932.679840 cmd_parse_build_commands 0:2: Select next layout
1732671932.679843 cmd_parse_build_commands 0:3: Space
1732671932.679846 cmd_parse_build_commands 0:4 0:0: next-layout
1732671932.679851 cmd_parse_build_commands 0:0: next-layout
1732671932.679855 args_parse: flags end at 1 of 1
1732671932.679859 cmd_parse_build_commands: next-layout
1732671932.679862 args_parse_flags: next -N
1732671932.679865 args_parse_flag_argument: -N = Select next layout
1732671932.679868 args_parse_flags: next Space
1732671932.679871 args_parse: flags end at 3 of 5
1732671932.679875 args_parse: 3 = Space (type STRING)
1732671932.679878 args_parse: 4 = next-layout (type COMMANDS)
1732671932.679887 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1732671932.679892 cmdq_get_command: [bind-key/0x155605fd0] group 26
1732671932.679895 cmdq_append <global>: [bind-key/0x155605fd0]
1732671932.679898 yylex_token: end at WS
1732671932.679901 yylex_token: bind
1732671932.679903 yylex_token: end at WS
1732671932.679906 yylex_token: -N
1732671932.679910 yylex_token: end at WS
1732671932.679913 yylex_token: Break pane to a new window
1732671932.679916 yylex_token: end at WS
1732671932.679919 yylex_token: !
1732671932.679922 yylex_token: end at WS
1732671932.679925 yylex_token: break-pane
1732671932.679928 cmd_parse_build_commands 0:0: bind
1732671932.679931 cmd_parse_build_commands 0:1: -N
1732671932.679934 cmd_parse_build_commands 0:2: Break pane to a new window
1732671932.679937 cmd_parse_build_commands 0:3: !
1732671932.679940 cmd_parse_build_commands 0:4 0:0: break-pane
1732671932.679945 cmd_parse_build_commands 0:0: break-pane
1732671932.679948 args_parse: flags end at 1 of 1
1732671932.679953 cmd_parse_build_commands: break-pane
1732671932.679955 args_parse_flags: next -N
1732671932.679959 args_parse_flag_argument: -N = Break pane to a new window
1732671932.679961 args_parse_flags: next !
1732671932.679964 args_parse: flags end at 3 of 5
1732671932.679967 args_parse: 3 = ! (type STRING)
1732671932.679971 args_parse: 4 = break-pane (type COMMANDS)
1732671932.679979 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1732671932.679984 cmdq_get_command: [bind-key/0x155606560] group 34
1732671932.679987 cmdq_append <global>: [bind-key/0x155606560]
1732671932.679990 yylex_token: end at WS
1732671932.679993 yylex_token: bind
1732671932.679996 yylex_token: end at WS
1732671932.679999 yylex_token: -N
1732671932.680003 yylex_token: end at WS
1732671932.680006 yylex_token: Split window vertically
1732671932.680009 yylex_token: end at WS
1732671932.680011 yylex_token: "
1732671932.680015 yylex_token: end at WS
1732671932.680017 yylex_token: split-window
1732671932.680021 cmd_parse_build_commands 0:0: bind
1732671932.680024 cmd_parse_build_commands 0:1: -N
1732671932.680027 cmd_parse_build_commands 0:2: Split window vertically
1732671932.680029 cmd_parse_build_commands 0:3: "
1732671932.680033 cmd_parse_build_commands 0:4 0:0: split-window
1732671932.680037 cmd_parse_build_commands 0:0: split-window
1732671932.680041 args_parse: flags end at 1 of 1
1732671932.680045 cmd_parse_build_commands: split-window
1732671932.680048 args_parse_flags: next -N
1732671932.680051 args_parse_flag_argument: -N = Split window vertically
1732671932.680054 args_parse_flags: next "
1732671932.680057 args_parse: flags end at 3 of 5
1732671932.680060 args_parse: 3 = " (type STRING)
1732671932.680063 args_parse: 4 = split-window (type COMMANDS)
1732671932.680071 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1732671932.680076 cmdq_get_command: [bind-key/0x155606ac0] group 42
1732671932.680079 cmdq_append <global>: [bind-key/0x155606ac0]
1732671932.680082 yylex_token: end at WS
1732671932.680085 yylex_token: bind
1732671932.680088 yylex_token: end at WS
1732671932.680090 yylex_token: -N
1732671932.680094 yylex_token: end at WS
1732671932.680097 yylex_token: List all paste buffers
1732671932.680100 yylex_token: end at WS
1732671932.680107 yylex_token: #
1732671932.680110 yylex_token: end at WS
1732671932.680113 yylex_token: list-buffers
1732671932.680117 cmd_parse_build_commands 0:0: bind
1732671932.680120 cmd_parse_build_commands 0:1: -N
1732671932.680123 cmd_parse_build_commands 0:2: List all paste buffers
1732671932.680126 cmd_parse_build_commands 0:3: #
1732671932.680129 cmd_parse_build_commands 0:4 0:0: list-buffers
1732671932.680133 cmd_parse_build_commands 0:0: list-buffers
1732671932.680137 args_parse: flags end at 1 of 1
1732671932.680140 cmd_parse_build_commands: list-buffers
1732671932.680144 args_parse_flags: next -N
1732671932.680147 args_parse_flag_argument: -N = List all paste buffers
1732671932.680150 args_parse_flags: next #
1732671932.680153 args_parse: flags end at 3 of 5
1732671932.680155 args_parse: 3 = # (type STRING)
1732671932.680159 args_parse: 4 = list-buffers (type COMMANDS)
1732671932.680167 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1732671932.680172 cmdq_get_command: [bind-key/0x155606c10] group 50
1732671932.680175 cmdq_append <global>: [bind-key/0x155606c10]
1732671932.680223 yylex_token: end at WS
1732671932.680228 yylex_token: bind
1732671932.680232 yylex_token: end at WS
1732671932.680235 yylex_token: -N
1732671932.680239 yylex_token: end at WS
1732671932.680242 yylex_token: Rename current session
1732671932.680246 yylex_token: end at WS
1732671932.680249 yylex_token: $
1732671932.680252 yylex_token: end at WS
1732671932.680255 yylex_token: command-prompt
1732671932.680258 yylex_token: end at WS
1732671932.680261 yylex_token: -I#S
1732671932.680264 yylex_token: end at WS
1732671932.680267 yylex_token: rename-session
1732671932.680270 yylex_token: end at WS
